  15    /N + 0  IONISATION RATE COEFFICIENTS   /
N + 0/N + 1/   24/I.P. =           117314.3/ICODE =  1/FCODE =  0/ISEL=   1
 1.029E-07 9.923E-08 9.417E-08 8.227E-08 6.536E-08 5.338E-08 
N + 0/N + 1/   24/I.P. =           113313.6/ICODE =  2/FCODE =  2/ISEL=   8
 1.000E+00 2.000E+00 3.000E+00 4.000E+00 5.000E+00 7.000E+00 
 1.000E+01 1.500E+01 2.000E+01 3.000E+01 4.000E+01 5.000E+01 
 7.000E+01 1.000E+02 1.500E+02 2.000E+02 3.000E+02 4.000E+02 
 5.000E+02 7.000E+02 1.000E+03 2.000E+03 5.000E+03 1.000E+04 
 1.691E-15 2.182E-12 2.568E-11 9.318E-11 2.098E-10 5.678E-10 
 1.301E-09 2.707E-09 4.084E-09 6.445E-09 8.277E-09 9.695E-09 
 1.170E-08 1.351E-08 1.502E-08 1.573E-08 1.623E-08 1.628E-08 
 1.616E-08 1.577E-08 1.512E-08 1.343E-08 1.084E-08 8.929E-09 
N + 0/N + 1/   24/I.P. =           130686.2/ICODE =  2/FCODE =  3/ISEL=   9
 1.000E+00 2.000E+00 3.000E+00 4.000E+00 5.000E+00 7.000E+00 
 1.000E+01 1.500E+01 2.000E+01 3.000E+01 4.000E+01 5.000E+01 
 7.000E+01 1.000E+02 1.500E+02 2.000E+02 3.000E+02 4.000E+02 
 5.000E+02 7.000E+02 1.000E+03 2.000E+03 5.000E+03 1.000E+04 
 3.003E-17 1.144E-13 1.936E-12 8.429E-12 2.116E-11 6.465E-11 
 1.615E-10 3.567E-10 5.525E-10 8.918E-10 1.156E-09 1.361E-09 
 1.651E-09 1.912E-09 2.132E-09 2.234E-09 2.308E-09 2.315E-09 
 2.299E-09 2.244E-09 2.153E-09 1.914E-09 1.546E-09 1.274E-09 
N + 0/N + 1/   24/I.P. =            98086.3/ICODE =  2/FCODE =  4/ISEL=  10
 1.000E+00 2.000E+00 3.000E+00 4.000E+00 5.000E+00 7.000E+00 
 1.000E+01 1.500E+01 2.000E+01 3.000E+01 4.000E+01 5.000E+01 
 7.000E+01 1.000E+02 1.500E+02 2.000E+02 3.000E+02 4.000E+02 
 5.000E+02 7.000E+02 1.000E+03 2.000E+03 5.000E+03 1.000E+04 
 1.000E-70 1.000E-70 1.000E-70 1.000E-70 1.000E-70 1.000E-70 
 1.000E-70 1.000E-70 1.000E-70 1.000E-70 1.000E-70 1.000E-70 
 1.000E-70 1.000E-70 1.000E-70 1.000E-70 1.000E-70 1.000E-70 
 1.000E-70 1.000E-70 1.000E-70 1.000E-70 1.000E-70 1.000E-70 
N + 0/N + 1/   24/I.P. =            88475.1/ICODE =  3/FCODE =  0/ISEL=  11
 1.000E+00 2.000E+00 3.000E+00 4.000E+00 5.000E+00 7.000E+00 
 1.000E+01 1.500E+01 2.000E+01 3.000E+01 4.000E+01 5.000E+01 
 7.000E+01 1.000E+02 1.500E+02 2.000E+02 3.000E+02 4.000E+02 
 5.000E+02 7.000E+02 1.000E+03 2.000E+03 5.000E+03 1.000E+04 
