 84408       #  shotnumber
48.70000    # time [s] 
 120     # number of rho pol positions
# rho_toroidal vector:
   2.9010177e+13   2.8772061e+13   2.8523970e+13   2.8275880e+13   2.8014131e+13
   2.7750243e+13   2.7479918e+13   2.7199331e+13   2.6918744e+13   2.6621307e+13
   2.6322128e+13   2.6012831e+13   2.5689962e+13   2.5367093e+13   2.5007364e+13
   2.4645609e+13   2.4244379e+13   2.3798409e+13   2.3352440e+13   2.2700834e+13
   2.2047067e+13   2.1144537e+13   2.0003399e+13   1.8831730e+13   1.6713725e+13
   1.4595719e+13   1.2027598e+13   9.0942965e+12   6.1070312e+12   2.4336202e+12
       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
zeff profile
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
       1.0000000       1.0000000       1.0000000       1.0000000       1.0000000
toroidal rotation profile [rad/s]
       16615.277       16487.213       16359.149       16231.085       16103.694
       15978.022       15852.351       15728.568       15605.251       15482.681
       15361.678       15240.674       15121.589       15002.859       14884.945
       14768.451       14651.958       14537.407       14423.107       14309.684
       14197.543       14085.401       13975.223       13865.200       13756.108
       13648.165       13540.222       13434.265       13328.371       13223.462
       13119.579       13015.716       12913.804       12811.892       12711.014
       12611.047       12511.179       12413.113       12315.047       12218.051
       12121.853       12025.828       11931.468       11837.107       11743.857
       11651.304       11558.990       11468.205       11377.420       11287.775
       11198.726       11109.980       11022.643       10935.306       10849.138
       10763.477       10678.176       10594.158       10510.140       10427.318
       10344.916       10262.927       10182.110       10101.293       10021.696
       9942.4410       9863.6473       9785.9200       9708.1927       9631.6965
       9555.4653       9479.7394       9404.9782       9330.2170       9256.7062
       9183.3914       9110.6237       9038.7286       8966.8334       8896.1992
       8825.6953       8755.7740       8686.6341       8617.4942       8549.6234
       8481.8223       8414.6389       8348.1556       8281.6723       8216.4653
       8151.2716       8086.7229       8022.7929       7958.9017       7896.2162
       7833.5306       7771.5180       7710.0513       7331.5218       2921.5734
       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
