   19    /Li  IONISATION RATE COEFFICIENTS   /
Li+ 1/Li+ 2/   24/I.P. =           608701.7/ICODE =  1/FCODE =  1/ISEL =  1
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 2.526E-65 2.041E-51 1.669E-37 1.535E-30 2.347E-26 1.463E-21
 6.024E-18 4.143E-15 1.133E-13 3.290E-12 1.848E-11 5.330E-11
 1.852E-10 4.897E-10 1.083E-09 1.639E-09 2.517E-09 3.132E-09
 3.570E-09 4.126E-09 4.547E-09 4.855E-09 4.474E-09 3.881E-09
Li+ 1/Li+ 2/   24/I.P. =           131951.2/ICODE =  2/FCODE =  1/ISEL =  2
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 8.971E-21 9.759E-18 1.103E-14 3.811E-13 3.245E-12 3.844E-11
 2.526E-10 1.125E-09 2.413E-09 5.254E-09 7.801E-09 9.901E-09
 1.298E-08 1.578E-08 1.807E-08 1.906E-08 1.960E-08 1.946E-08
 1.911E-08 1.828E-08 1.711E-08 1.442E-08 1.085E-08 8.503E-09
Li+ 1/Li+ 2/   24/I.P. =           116610.7/ICODE =  3/FCODE =  1/ISEL =  3
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 2.171E-19 1.059E-16 5.367E-14 1.242E-12 8.309E-12 7.468E-11
 3.984E-10 1.506E-09 2.970E-09 5.933E-09 8.424E-09 1.040E-08
 1.318E-08 1.559E-08 1.745E-08 1.817E-08 1.841E-08 1.814E-08
 1.772E-08 1.683E-08 1.566E-08 1.309E-08 9.781E-09 7.639E-09
Li+ 1/Li+ 2/   24/I.P. =           115900.9/ICODE =  4/FCODE =  1/ISEL =  4
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 4.693E-19 2.198E-16 1.067E-13 2.411E-12 1.587E-11 1.396E-10
 7.296E-10 2.697E-09 5.237E-09 1.024E-08 1.432E-08 1.747E-08
 2.177E-08 2.532E-08 2.782E-08 2.860E-08 2.851E-08 2.777E-08
 2.690E-08 2.525E-08 2.321E-08 1.898E-08 1.382E-08 1.060E-08
Li+ 1/Li+ 2/   24/I.P. =           108359.7/ICODE =  5/FCODE =  1/ISEL =  5
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 2.244E-18 7.084E-16 2.318E-13 4.298E-12 2.513E-11 1.929E-10
 9.089E-10 3.097E-09 5.769E-09 1.080E-08 1.477E-08 1.778E-08
 2.179E-08 2.500E-08 2.714E-08 2.773E-08 2.744E-08 2.662E-08
 2.572E-08 2.406E-08 2.206E-08 1.796E-08 1.303E-08 9.983E-09
Li+ 1/Li+ 2/   24/I.P. =            54683.9/ICODE =  6/FCODE =  1/ISEL =  6
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 6.647E-13 1.246E-11 2.382E-10 1.052E-09 2.575E-09 7.185E-09
 1.550E-08 2.802E-08 3.739E-08 4.915E-08 5.558E-08 5.927E-08
 6.267E-08 6.372E-08 6.236E-08 6.017E-08 5.593E-08 5.242E-08
 4.954E-08 4.510E-08 4.045E-08 3.204E-08 2.284E-08 1.742E-08
Li+ 1/Li+ 2/   24/I.P. =            50659.3/ICODE =  7/FCODE =  1/ISEL =  7
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 1.514E-12 2.297E-11 3.548E-10 1.407E-09 3.228E-09 8.354E-09
 1.702E-08 2.939E-08 3.830E-08 4.912E-08 5.484E-08 5.800E-08
 6.073E-08 6.127E-08 5.954E-08 5.723E-08 5.296E-08 4.951E-08
 4.672E-08 4.244E-08 3.799E-08 3.002E-08 2.135E-08 1.626E-08
Li+ 1/Li+ 2/   24/I.P. =            50328.6/ICODE =  8/FCODE =  1/ISEL =  8
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 2.750E-12 4.122E-11 6.307E-10 2.491E-09 5.696E-09 1.465E-08
 2.961E-08 5.050E-08 6.511E-08 8.202E-08 9.021E-08 9.422E-08
 9.664E-08 9.520E-08 8.994E-08 8.469E-08 7.615E-08 6.976E-08
 6.482E-08 5.758E-08 5.038E-08 3.819E-08 2.588E-08 1.909E-08
Li+ 1/Li+ 2/   24/I.P. =            49086.5/ICODE =  9/FCODE =  1/ISEL =  9
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 3.546E-12 4.978E-11 7.139E-10 2.734E-09 6.143E-09 1.553E-08
 3.107E-08 5.268E-08 6.776E-08 8.515E-08 9.353E-08 9.759E-08
 9.996E-08 9.834E-08 9.279E-08 8.731E-08 7.843E-08 7.181E-08
 6.670E-08 5.922E-08 5.179E-08 3.924E-08 2.658E-08 1.960E-08
Li+ 1/Li+ 2/   24/I.P. =            49054.2/ICODE = 10/FCODE =  1/ISEL = 10
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 3.569E-12 5.003E-11 7.162E-10 2.740E-09 6.154E-09 1.555E-08
 3.110E-08 5.270E-08 6.777E-08 8.515E-08 9.352E-08 9.757E-08
 9.993E-08 9.831E-08 9.275E-08 8.726E-08 7.839E-08 7.177E-08
 6.666E-08 5.919E-08 5.176E-08 3.921E-08 2.656E-08 1.958E-08
Li+ 1/Li+ 2/   24/I.P. =            48078.3/ICODE = 11/FCODE =  1/ISEL = 11
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 4.357E-12 5.801E-11 7.877E-10 2.929E-09 6.455E-09 1.591E-08
 3.112E-08 5.170E-08 6.576E-08 8.166E-08 8.913E-08 9.265E-08
 9.448E-08 9.263E-08 8.716E-08 8.188E-08 7.344E-08 6.719E-08
 6.237E-08 5.535E-08 4.838E-08 3.663E-08 2.480E-08 1.828E-08
Li+ 1/Li+ 2/   24/I.P. =            29842.3/ICODE = 12/FCODE =  1/ISEL = 12
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 2.906E-10 1.468E-09 7.468E-09 1.682E-08 2.726E-08 4.676E-08
 6.849E-08 8.881E-08 9.821E-08 1.038E-07 1.030E-07 1.003E-07
 9.393E-08 8.543E-08 7.509E-08 6.792E-08 5.855E-08 5.255E-08
 4.830E-08 4.251E-08 3.715E-08 2.865E-08 2.038E-08 1.573E-08
Li+ 1/Li+ 2/   24/I.P. =            28229.2/ICODE = 13/FCODE =  1/ISEL = 13
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 4.009E-10 1.858E-09 8.661E-09 1.865E-08 2.941E-08 4.882E-08
 6.970E-08 8.849E-08 9.677E-08 1.010E-07 9.965E-08 9.669E-08
 9.015E-08 8.172E-08 7.166E-08 6.475E-08 5.577E-08 5.005E-08
 4.599E-08 4.049E-08 3.538E-08 2.729E-08 1.941E-08 1.499E-08
Li+ 1/Li+ 2/   24/I.P. =            28084.0/ICODE = 14/FCODE =  1/ISEL = 14
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 5.575E-10 2.557E-09 1.181E-08 2.537E-08 4.005E-08 6.697E-08
 9.701E-08 1.263E-07 1.413E-07 1.532E-07 1.557E-07 1.548E-07
 1.498E-07 1.412E-07 1.291E-07 1.198E-07 1.065E-07 9.738E-08
 9.056E-08 8.084E-08 7.136E-08 5.544E-08 3.914E-08 2.984E-08
Li+ 1/Li+ 2/   24/I.P. =            27583.9/ICODE = 15/FCODE =  1/ISEL = 15
 6.000E-01 8.000E-01 1.200E+00 1.600E+00 2.000E+00 2.800E+00
 4.000E+00 6.000E+00 8.000E+00 1.200E+01 1.600E+01 2.000E+01
 2.800E+01 4.000E+01 6.000E+01 8.000E+01 1.200E+02 1.600E+02
 2.000E+02 2.800E+02 4.000E+02 8.000E+02 2.000E+03 4.000E+03
 8.093E-10 3.606E-09 1.609E-08 3.381E-08 5.245E-08 8.530E-08
 1.197E-07 1.497E-07 1.623E-07 1.680E-07 1.648E-07 1.594E-07
 1.479E-07 1.334E-07 1.163E-07 1.045E-07 8.918E-08 7.942E-08
 7.251E-08 6.314E-08 5.450E-08 4.096E-08 2.812E-08 2.117E-08
