   10    /Li  IONISATION RATE COEFFICIENTS   /
Li+ 2/Li+ 3/   24/I.P. =           987779.2/ICODE =  1/FCODE =  1/ISEL =  1
Li+ 2/Li+ 3/   24/I.P. =            61700.9/ICODE =  9/FCODE =  1/ISEL =  9
 1.350E+00 1.800E+00 2.700E+00 3.600E+00 4.500E+00 6.300E+00
 9.000E+00 1.350E+01 1.800E+01 2.700E+01 3.600E+01 4.500E+01
 6.300E+01 9.000E+01 1.350E+02 1.800E+02 2.700E+02 3.600E+02
 4.500E+02 6.300E+02 9.000E+02 1.800E+03 4.500E+03 9.000E+03
 2.860E-10 1.262E-09 5.588E-09 1.172E-08 1.818E-08 2.964E-08
 4.186E-08 5.291E-08 5.793E-08 6.084E-08 6.037E-08 5.888E-08
 5.531E-08 5.046E-08 4.439E-08 4.008E-08 3.429E-08 3.050E-08
 2.778E-08 2.404E-08 2.055E-08 1.505E-08 9.885E-09 7.172E-09
Li+ 2/Li+ 3/   24/I.P. =            61700.9/ICODE = 10/FCODE =  1/ISEL = 10
 1.350E+00 1.800E+00 2.700E+00 3.600E+00 4.500E+00 6.300E+00
 9.000E+00 1.350E+01 1.800E+01 2.700E+01 3.600E+01 4.500E+01
 6.300E+01 9.000E+01 1.350E+02 1.800E+02 2.700E+02 3.600E+02
 4.500E+02 6.300E+02 9.000E+02 1.800E+03 4.500E+03 9.000E+03
 2.860E-10 1.262E-09 5.588E-09 1.172E-08 1.818E-08 2.964E-08
 4.186E-08 5.291E-08 5.793E-08 6.084E-08 6.037E-08 5.888E-08
 5.531E-08 5.046E-08 4.439E-08 4.008E-08 3.429E-08 3.050E-08
 2.778E-08 2.404E-08 2.055E-08 1.505E-08 9.885E-09 7.172E-09
C----------------------------------------------------------------------------
C
C
C   ISEL  INITIAL MET.        DESIG.             FINAL  MET.      DESIG.
C           ION   CODE                            ION   CODE
C   ----  ------- ---- ----------------         ------- ---- ---------------
C     1   Li+ 2    1         1s1(2S)             Li+ 3    1         *
C     2   Li+ 2    2         2s1(2S)             Li+ 3    1         *
C     3   Li+ 2    3         2p1(2P)             Li+ 3    1         *
C     4   Li+ 2    4         3s1(2S)             Li+ 3    1         *
C     5   Li+ 2    5         3p1(2P)             Li+ 3    1         *
C     6   Li+ 2    6         3d1(2D)             Li+ 3    1         *
C     7   Li+ 2    7         4s1(2S)             Li+ 3    1         *
C     8   Li+ 2    8         4p1(2P)             Li+ 3    1         *
C     9   Li+ 2    9         4d1(2D)             Li+ 3    1         *
C    10   Li+ 2   10         4f1(2F)             Li+ 3    1         *
C
C
C  The rates were calculated using configuration-average ionization cross
C  sections, with semi-relativistic wavefunctions, using the
C  unrelaxed relaxed-core approximation, the prior form for the scattering
C  potentials, and the natural-phase approximation.       
C  They were then multiplied by the appropriate angular coefficients.
C
C
C  Data generated by  Stuart Loch on 14-Jul-2002
C----------------------------------------------------------------------------
 
C---------------------------------------------------------------------------------
C ADAS ADF07 DATA - SCCS info: @(#)$Header: /u/xshare/Attic/repos/codesys/source/adas/data/adf07/szd02#li/szd02#li_li2.dat,v 1.1 2009-07-30 05:53:41 Marina Gorelenkova Exp $ Date $Date: 2009-07-30 05:53:41 $
C---------------------------------------------------------------------------------
