   57    /O   IONISATION RATE COEFFICIENTS   /
O + 0/O + 1/   24/I.P. =            79662.4/ICODE =  3/FCODE =  0/ISEL=   9
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 7.124D-13 1.388D-10 9.067D-10 2.483D-09 4.737D-09 1.055D-08
 2.062D-08 3.717D-08 5.164D-08 7.418D-08 9.038D-08 1.024D-07
 1.187D-07 1.327D-07 1.441D-07 1.491D-07 1.520D-07 1.513D-07
 1.492D-07 1.440D-07 1.363D-07 1.174D-07 9.089D-08 7.280D-08
O + 0/O + 1/   24/I.P. =            79662.4/ICODE =  3/FCODE =  1/ISEL=  10
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 6.895D-13 1.195D-10 7.031D-10 1.774D-09 3.174D-09 6.415D-09
 1.134D-08 1.832D-08 2.365D-08 3.086D-08 3.535D-08 3.831D-08
 4.179D-08 4.415D-08 4.523D-08 4.506D-08 4.372D-08 4.214D-08
 4.062D-08 3.801D-08 3.497D-08 2.889D-08 2.155D-08 1.693D-08
O + 0/O + 1/   24/I.P. =           102746.7/ICODE =  3/FCODE =  2/ISEL=  11
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.549D-14 1.244D-11 1.282D-10 4.376D-10 9.522D-10 2.475D-09
 5.491D-09 1.110D-08 1.651D-08 2.568D-08 3.278D-08 3.831D-08
 4.624D-08 5.357D-08 6.006D-08 6.333D-08 6.604D-08 6.666D-08
 6.644D-08 6.505D-08 6.239D-08 5.485D-08 4.321D-08 3.491D-08
O + 0/O + 1/   24/I.P. =           116397.3/ICODE =  3/FCODE =  3/ISEL=  12
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
