   57    /O   IONISATION RATE COEFFICIENTS   /
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 9.879D-32 3.370D-20 2.535D-16 2.264D-14 3.399D-13 7.626D-12
 7.956D-11 4.979D-10 1.255D-09 3.205D-09 5.180D-09 6.956D-09
 9.830D-09 1.283D-08 1.579D-08 1.742D-08 1.895D-08 1.948D-08
 1.959D-08 1.934D-08 1.863D-08 1.642D-08 1.301D-08 1.063D-08
O + 2/O + 3/   24/I.P. =                0.0/ICODE =  2/FCODE =  2/ISEL=  37
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74
 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74
 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74
 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74
O + 2/O + 3/   24/I.P. =           399988.9/ICODE =  3/FCODE =  0/ISEL=  38
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.848D-30 1.538D-19 7.224D-16 5.099D-14 6.647D-13 1.270D-11
 1.174D-10 6.683D-10 1.604D-09 3.897D-09 6.136D-09 8.106D-09
 1.123D-08 1.444D-08 1.753D-08 1.921D-08 2.073D-08 2.121D-08
 2.128D-08 2.093D-08 2.010D-08 1.764D-08 1.394D-08 1.137D-08
O + 2/O + 3/   24/I.P. =           399988.9/ICODE =  3/FCODE =  1/ISEL=  39
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.848D-30 1.538D-19 7.224D-16 5.099D-14 6.647D-13 1.270D-11
 1.174D-10 6.683D-10 1.604D-09 3.897D-09 6.136D-09 8.106D-09
 1.123D-08 1.444D-08 1.753D-08 1.921D-08 2.073D-08 2.121D-08
 2.128D-08 2.093D-08 2.010D-08 1.764D-08 1.394D-08 1.137D-08
O + 2/O + 3/   24/I.P. =                0.0/ICODE =  3/FCODE =  2/ISEL=  40
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74
 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74
 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74
 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74 1.000D-74
O + 2/O + 3/   24/I.P. =           371333.0/ICODE =  4/FCODE =  0/ISEL=  41
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 5.856D-29 8.075D-19 2.095D-15 1.105D-13 1.213D-12 1.914D-11
 1.547D-10 8.012D-10 1.847D-09 4.340D-09 6.742D-09 8.844D-09
 1.216D-08 1.553D-08 1.874D-08 2.045D-08 2.195D-08 2.239D-08
 2.240D-08 2.197D-08 2.103D-08 1.840D-08 1.451D-08 1.183D-08
O + 2/O + 3/   24/I.P. =           454470.5/ICODE =  4/FCODE =  1/ISEL=  42
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 9.538D-34 2.278D-21 3.281D-17 4.053D-15 7.372D-14 2.042D-12
 2.451D-11 1.664D-10 4.280D-10 1.082D-09 1.699D-09 2.211D-09
 2.948D-09 3.585D-09 4.053D-09 4.215D-09 4.238D-09 4.142D-09
 4.019D-09 3.781D-09 3.487D-09 2.890D-09 2.186D-09 1.748D-09
O + 2/O + 3/   24/I.P. =           454470.5/ICODE =  4/FCODE =  2/ISEL=  43
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.315D-33 3.141D-21 4.525D-17 5.603D-15 1.025D-13 2.892D-12
 3.611D-11 2.631D-10 7.214D-10 2.027D-09 3.457D-09 4.808D-09
 7.096D-09 9.601D-09 1.218D-08 1.368D-08 1.516D-08 1.574D-08
 1.594D-08 1.588D-08 1.540D-08 1.372D-08 1.096D-08 8.984D-09
O + 3/O + 4/   24/I.P. =           624384.0/ICODE =  1/FCODE =  0/ISEL=  44
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.148D-43 1.119D-26 5.803D-21 4.441D-18 2.475D-16 2.595D-14
 9.125D-13 1.574D-11 6.844D-11 3.134D-10 6.906D-10 1.124D-09
 1.993D-09 3.098D-09 4.384D-09 5.201D-09 6.105D-09 6.540D-09
 6.759D-09 6.912D-09 6.875D-09 6.387D-09 5.306D-09 4.414D-09
O + 3/O + 4/   24/I.P. =           624188.4/ICODE =  1/FCODE =  1/ISEL=  45
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.897D-43 1.683D-26 8.051D-21 5.713D-18 2.972D-16 2.779D-14
 8.633D-13 1.313D-11 5.298D-11 2.235D-10 4.714D-10 7.466D-10
 1.280D-09 1.938D-09 2.683D-09 3.144D-09 3.643D-09 3.875D-09
 3.986D-09 4.051D-09 4.005D-09 3.682D-09 3.034D-09 2.523D-09
O + 3/O + 4/   24/I.P. =           706390.6/ICODE =  1/FCODE =  2/ISEL=  46
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 3.181D-48 4.627D-29 1.224D-22 2.068D-19 1.829D-17 3.192D-15
 1.617D-13 3.671D-12 1.828D-11 9.592D-11 2.266D-10 3.851D-10
 7.177D-10 1.161D-09 1.699D-09 2.053D-09 2.460D-09 2.666D-09
 2.777D-09 2.868D-09 2.875D-09 2.697D-09 2.262D-09 1.898D-09
O + 3/O + 4/   24/I.P. =           552572.9/ICODE =  2/FCODE =  0/ISEL=  47
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.686D-39 1.787D-24 1.972D-19 6.811D-17 2.327D-15 1.374D-13
 3.105D-12 3.784D-11 1.384D-10 5.339D-10 1.081D-09 1.671D-09
 2.791D-09 4.143D-09 5.646D-09 6.565D-09 7.544D-09 7.989D-09
 8.196D-09 8.303D-09 8.188D-09 7.505D-09 6.173D-09 5.133D-09
O + 3/O + 4/   24/I.P. =           552572.9/ICODE =  2/FCODE =  1/ISEL=  48
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.800D-39 1.879D-24 2.022D-19 6.718D-17 2.190D-15 1.169D-13
 2.290D-12 2.295D-11 7.233D-11 2.268D-10 3.998D-10 5.598D-10
 8.161D-10 1.069D-09 1.292D-09 1.398D-09 1.473D-09 1.482D-09
 1.467D-09 1.418D-09 1.341D-09 1.152D-09 8.925D-10 7.186D-10
O + 3/O + 4/   24/I.P. =           634775.1/ICODE =  2/FCODE =  2/ISEL=  49
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 3.267D-44 5.602D-27 3.377D-21 2.735D-18 1.566D-16 1.692D-14
 6.144D-13 1.110D-11 5.000D-11 2.402D-10 5.452D-10 9.055D-10
 1.646D-09 2.613D-09 3.768D-09 4.518D-09 5.368D-09 5.791D-09
 6.012D-09 6.183D-09 6.176D-09 5.765D-09 4.813D-09 4.031D-09
O + 4/O + 5/   24/I.P. =           918657.0/ICODE =  1/FCODE =  1/ISEL=  50
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.429D-59 1.084D-34 2.309D-26 3.503D-22 1.155D-19 9.020D-17
 1.389D-14 7.311D-13 5.451D-12 4.199D-11 1.188D-10 2.238D-10
 4.669D-10 8.185D-10 1.273D-09 1.587D-09 1.965D-09 2.170D-09
 2.288D-09 2.403D-09 2.448D-09 2.362D-09 2.042D-09 1.741D-09
O + 4/O + 5/   24/I.P. =           836240.0/ICODE =  2/FCODE =  1/ISEL=  51
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 3.357D-55 1.509D-32 5.867D-25 3.850D-21 7.766D-19 3.530D-16
 3.705D-14 1.475D-12 9.621D-12 6.504D-11 1.724D-10 3.123D-10
 6.217D-10 1.050D-09 1.582D-09 1.940D-09 2.361D-09 2.618D-09
 2.714D-09 2.836D-09 2.881D-09 2.773D-09 2.399D-09 2.038D-09
O + 5/O + 6/   24/I.P. =          1114008.0/ICODE =  1/FCODE =  0/ISEL=  52
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.507D-70 2.083D-40 2.522D-30 2.886D-25 3.201D-22 1.001D-18
 4.362D-16 5.162D-14 5.773D-13 6.673D-12 2.315D-11 4.934D-11
 1.188D-10 2.338D-10 4.063D-10 5.529D-10 7.341D-10 8.859D-10
 9.689D-10 1.064D-09 1.169D-09 1.220D-09 1.138D-09 1.012D-09
O + 5/O + 6/   24/I.P. =          1113614.2/ICODE =  1/FCODE =  1/ISEL=  53
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 1.527D-70 2.047D-40 2.452D-30 2.790D-25 3.083D-22 9.595D-19
 4.167D-16 4.914D-14 5.486D-13 6.329D-12 2.194D-11 4.672D-11
 1.122D-10 2.190D-10 3.710D-10 4.830D-10 6.261D-10 7.082D-10
 7.581D-10 8.099D-10 8.350D-10 8.115D-10 6.912D-10 5.801D-10
O + 5/O + 6/   20/I.P. =          5638637.0/ICODE =  1/FCODE =  2/ISEL=  54
 7.000D+00 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01
 5.000D+01 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02
 4.000D+02 5.000D+02 7.000D+02 1.000D+03 2.000D+03 4.000D+03
 5.000D+03 1.000D+04
 7.672D-55 9.288D-42 1.480D-31 1.945D-26 2.700D-21 1.045D-18
 3.814D-17 2.409D-15 5.626D-14 6.833D-13 2.447D-12 9.048D-12
 1.772D-11 2.675D-11 4.323D-11 6.231D-11 9.483D-11 1.129D-10
 1.154D-10 1.151D-10
O + 6/O + 7/   20/I.P. =          5963114.0/ICODE =  1/FCODE =  1/ISEL=  55
 7.000D+00 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01
 5.000D+01 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02
 4.000D+02 5.000D+02 7.000D+02 1.000D+03 2.000D+03 4.000D+03
 5.000D+03 1.000D+04
 1.374D-57 9.675D-44 6.181D-33 1.652D-27 4.786D-22 2.735D-19
 1.278D-17 1.095D-15 3.302D-14 5.046D-13 2.062D-12 8.861D-12
 1.890D-11 3.016D-11 5.223D-11 7.972D-11 1.309D-10 1.629D-10
 1.680D-10 1.703D-10
O + 6/O + 7/   24/I.P. =          1434715.0/ICODE =  2/FCODE =  1/ISEL=  56
 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00 1.000D+01
 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 1.000D+04
 2.294D-49 2.076D-36 6.500D-30 5.253D-26 1.591D-21 3.814D-18
 1.702D-15 3.702D-14 8.354D-13 4.065D-12 1.064D-11 3.260D-11
 7.719D-11 1.544D-10 2.209D-10 3.192D-10 3.851D-10 4.310D-10
 4.885D-10 5.323D-10 5.674D-10 5.492D-10 5.354D-10 4.778D-10
O + 7/O + 8/   20/I.P. =          7026393.6/ICODE =  1/FCODE =  1/ISEL=  57
 7.000D+00 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01
 5.000D+01 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02
 4.000D+02 5.000D+02 7.000D+02 1.000D+03 2.000D+03 4.000D+03
 5.000D+03 1.000D+04
 8.007D-66 1.579D-49 7.918D-37 1.845D-30 4.538D-24 7.388D-21
 6.380D-19 1.007D-16 5.243D-15 1.125D-13 5.342D-13 2.614D-12
 5.881D-12 9.645D-12 1.714D-11 2.657D-11 4.438D-11 5.603D-11
 5.810D-11 5.992D-11
C-----------------------------------------------------------------------
C
C  ELECTRON IMPACT IONISATION RATE COEFFICIENT LIST:
C
C   ISEL  INITIAL MET.    FINAL  MET.           SOURCE
C           ION   CODE     ION   CODE
C   ----  ------- ----   ------- ----     ------------------------------
C     1   O + 0    1     O + 1    0       *BELL ET AL. (1982) CLM-R216
C     2   O + 0    1     O + 2    1       *DICKSON ET AL (1992)
C     3   O + 0    1     O + 2    2       *DICKSON ET AL (1992)
C     4   O + 0    1     O + 2    3       *DICKSON ET AL (1992)
C
C     5   O + 0    2     O + 2    0       *DICKSON ET AL (1992)
C     6   O + 0    2     O + 2    1       #DICKSON ET AL (1992)
C     7   O + 0    2     O + 2    2       #DICKSON ET AL (1992)
C     8   O + 0    2     O + 2    3       *DICKSON ET AL (1992)
C
C     9   O + 0    3     O + 2    0       *DICKSON ET AL (1992)
C    10   O + 0    3     O + 2    1       #DICKSON ET AL (1992)
C    11   O + 0    3     O + 2    2       #DICKSON ET AL (1992)
C    12   O + 0    3     O + 2    3       *DICKSON ET AL (1992)
C
C    13   O + 0    4     O + 2    0       #DICKSON ET AL (1992)
C    14   O + 0    4     O + 2    1       #DICKSON ET AL (1992)
C    15   O + 0    4     O + 2    2       #DICKSON ET AL (1992)
C    16   O + 0    4     O + 2    3       #DICKSON ET AL (1992)
C
C    17   O + 1    1     O + 2    0       *BELL ET AL. (1982) CLM-R216
C    18   O + 1    1     O + 2    1       *DICKSON ET AL (1992)
C    19   O + 1    1     O + 2    2       #DICKSON ET AL (1992)
C    20   O + 1    1     O + 2    3       #DICKSON ET AL (1992)
C    21   O + 1    1     O + 2    4       *DICKSON ET AL (1992)
C
C    22   O + 1    2     O + 2    0       #DICKSON ET AL (1992)
C    23   O + 1    2     O + 2    1       *DICKSON ET AL (1992)
C    24   O + 1    2     O + 2    2       *DICKSON ET AL (1992)
C    25   O + 1    2     O + 2    3       *DICKSON ET AL (1992)
C    26   O + 1    2     O + 2    4       #DICKSON ET AL (1992)
C
C    27   O + 1    3     O + 2    0       #DICKSON ET AL (1992)
C    28   O + 1    3     O + 2    1       *DICKSON ET AL (1992)
C    29   O + 1    3     O + 2    2       *DICKSON ET AL (1992)
C    30   O + 1    3     O + 2    3       *DICKSON ET AL (1992)
C    31   O + 1    3     O + 2    4       #DICKSON ET AL (1992)
C
C    32   O + 2    1     O + 3    0       *BELL ET AL. (1982) CLM-R216
C    33   O + 2    1     O + 3    1       *DICKSON (1992)
C    34   O + 2    1     O + 3    2       *DICKSON (1992)
C
C    35   O + 2    2     O + 3    0        DICKSON (1992)
C    36   O + 2    2     O + 3    1       *DICKSON (1992)
C    37   O + 2    2     O + 3    2       #DICKSON (1992)
C
C    38   O + 2    3     O + 3    0        DICKSON (1992)
C    39   O + 2    3     O + 3    1        DICKSON (1992)
C    40   O + 2    3     O + 3    2       #DICKSON (1992)
C
C    41   O + 2    4     O + 3    0        DICKSON (1992)
C    42   O + 2    4     O + 3    1        DICKSON (1992)
C    43   O + 2    4     O + 3    2       *DICKSON (1992)
C
C    44   O + 3    1     O + 4    0       *BELL ET AL. (1982) CLM-R216
C    45   O + 3    1     O + 4    1       *DICKSON (1992)
C    46   O + 3    1     O + 4    2       *DICKSON (1992)
C
C    47   O + 3    2     O + 4    0       *DICKSON (1992)
C    48   O + 3    2     O + 4    1        DICKSON (1992)
C    49   O + 3    2     O + 4    2        DICKSON (1992)
C
C    50   O + 4    1     O + 5    1       *BELL ET AL. (1982) CLM-R216
C    51   O + 4    2     O + 5    1       *YOUNGER, (1981) PHYS REV A V2
C
C    52   O + 5    1     O + 6    0       *BELL ET AL. (1982) CLM-R216
C    53   O + 5    1     O + 6    1       *YOUNGER, (1981) J.Q.S.R.T. V2
C    54   O + 5    1     O + 6    2       *YOUNGER, (1981) J.Q.S.R.T. V2
C
C    55   O + 6    1     O + 7    1       *BELL ET AL. (1982) CLM-R216
C    56   O + 6    2     O + 7    1       *ATTAOURTI ET AL (1991) PHYS S
C
C    57   O + 7    1     O + 8    1       *BELL ET AL. (1982) CLM-R216
C
C
C         PREFERRED DATA INDICATED BY *
C         ARTIFICIAL DATA SET TO ZERO INDICATED BY #
C
C
C  NOTES.
C ------
C
C   ISEL  INITIAL MET.    DESIG.             FINAL  MET.    DESIG.
C           ION   CODE                        ION   CODE
C   ----  ------- ---- ---------------      ------- ---- ---------------
C     1   O + 0    1     2S2 2P4(3P)         O + 1    0     *
C     2   O + 0    1     2S2 2P4(3P)         O + 1    1     2S2 2P3 (4S)
C     3   O + 0    1     2S2 2P4(3P)         O + 1    2     2S2 2P3 (2D)
C     4   O + 0    1     2S2 2P4(3P)         O + 1    3     2S2 2P3 (2P)
C
C     5   O + 0    2     2S2 2P4(1D)         O + 1    0     *
C     6   O + 0    2     2S2 2P4(1D)         O + 1    1     2S2 2P3 (4S)
C     7   O + 0    2     2S2 2P4(1D)         O + 1    2     2S2 2P3 (2D)
C     8   O + 0    2     2S2 2P4(1D)         O + 1    3     2S2 2P3 (2P)
C
C     9   O + 0    3     2S2 2P4(1S)         O + 1    0     *
C    10   O + 0    3     2S2 2P4(1S)         O + 1    1     2S2 2P3 (4S)
C    11   O + 0    3     2S2 2P4(1S)         O + 1    2     2S2 2P3 (2D)
C    12   O + 0    3     2S2 2P4(1S)         O + 1    3     2S2 2P3 (2P)
C
C    13   O + 0    4     2S 2P5 3S(5S)       O + 1    0     *
C    14   O + 0    4     2S 2P5 3S(5S)       O + 1    1     2S2 2P3 (4S)
C    15   O + 0    4     2S 2P5 3S(5S)       O + 1    2     2S2 2P3 (2D)
C    16   O + 0    4     2S 2P5 3S(5S)       O + 1    3     2S2 2P3 (2P)
C
C    17   O + 1    1     2S2 2P3(4S)         O + 2    0     *
C    18   O + 1    1     2S2 2P3(4S)         O + 2    1     2S2 2P2 (3P)
C    19   O + 1    1     2S2 2P3(4S)         O + 2    2     2S2 2P2 (1D)
C    20   O + 1    1     2S2 2P3(4S)         O + 2    3     2S2 2P2 (1S)
C    21   O + 1    1     2S2 2P3(4S)         O + 2    4     2S2P3 (5S)
C
C    22   O + 1    2     2S2 2P3(2D)         O + 2    0     *
C    23   O + 1    2     2S2 2P3(2D)         O + 2    1     2S2 2P2 (3P)
C    24   O + 1    2     2S2 2P3(2D)         O + 2    2     2S2 2P2 (1D)
C    25   O + 1    2     2S2 2P3(2D)         O + 2    3     2S2 2P2 (1S)
C    26   O + 1    2     2S2 2P3(2D)         O + 2    4     2S2P3 (5S)
C
C    27   O + 1    3     2S2 2P3(2P)         O + 2    0     *
C    28   O + 1    3     2S2 2P3(2P)         O + 2    1     2S2 2P2 (3P)
C    29   O + 1    3     2S2 2P3(2P)         O + 2    2     2S2 2P2 (1D)
C    30   O + 1    3     2S2 2P3(2P)         O + 2    3     2S2 2P2 (1S)
C    31   O + 1    3     2S2 2P3(2P)         O + 2    4     2S2P3 (5S)
C
C    32   O + 2    1     2S2 2P2(3P)         O + 3    0     *
C    33   O + 2    1     2S2 2P2(3P)         O + 3    1     2S2 2P (2P)
C    34   O + 2    1     2S2 2P2(3P)         O + 3    2     2S 2P2 (4P)
C
C    35   O + 2    2     2S2 2P2(1D)         O + 3    0     *
C    36   O + 2    2     2S2 2P2(1D)         O + 3    1     2S2 2P (2P)
C    37   O + 2    2     2S2 2P2(1D)         O + 3    2     2S 2P2 (4P)
C
C    38   O + 2    3     2S2 2P2(1S)         O + 3    0     *
C    39   O + 2    3     2S2 2P2(1S)         O + 3    1     2S2 2P (2P)
C    40   O + 2    3     2S2 2P2(1S)         O + 3    2     2S 2P2 (4P)
C
C    41   O + 2    4     2S  2P3(5S)         O + 3    0     *
C    42   O + 2    4     2S  2P3(5S)         O + 3    1     2S2 2P (2P)
C    43   O + 2    4     2S  2P3(5S)         O + 3    2     2S 2P2 (4P)
C
C    44   O + 3    1     2S2 2P (2P)         O + 4    0     *
C    45   O + 3    1     2S2 2P (2P)         O + 4    1     1S2 2S2(1S)
C    46   O + 3    1     2S2 2P (2P)         O + 4    2     1S2 2S 2P(3P
C
C    47   O + 3    2     2S  2P2 (4P)        O + 4    0     *
C    48   O + 3    2     2S  2P2 (4P)        O + 4    1     1S2 2S2 (1S)
C    49   O + 3    2     2S  2P2 (4P)        O + 4    2     1S2 2S 2P(3P
C
C    50   O + 4    1     1S2 2S2(1S)         O + 5    1     1S2 2S( 2S)
C    51   O + 4    2     1S2 2S2P(3P)        O + 5    1     1S2 2S( 2S)
C
C    52   O + 5    1     1S2 2S (2S)         O + 6    0     *
C    53   O + 5    1     1S2 2S (2S)         O + 6    1     1S2 (1S)
C    54   O + 5    1     1S2 2S (2S)         O + 6    2     1S  2S(3S)
C
C    55   O + 6    1     1S2 (1S)            O + 7    1     1S (2S)
C    56   O + 6    2     1S  2S(3S)          O + 7    1     1S (2S)
C
C    57   O + 7    1     1S  (2S)            O + 8    1     *  (1S)
C
C
C
C       WILLIAM J. DICKSON   12TH MAY 1992  (NO.S 50-57)
C                            26TH MAR 1993  (NO.S 1 -31)  BCHIDO
C                             9TH MAR 1993  (NO.S 32-49)  BCHIDO
C-----------------------------------------------------------------------
 
C---------------------------------------------------------------------------------
C ADAS ADF07 DATA - SCCS info: @(#)$Header: /home/adascvs/adas/adf07/ionelec/ionelec_szd#o.dat,v 2.2 2008/02/01 10:57:56 allan Exp $ Date $Date: 2008/02/01 10:57:56 $
C---------------------------------------------------------------------------------
