   26    /FE  IONISATION RATE COEFFICIENTS   /
 6.619D-09 6.794D-09 6.525D-09 5.440D-09 4.961D-09 4.451D-09
FE+ 8/FE+ 9/   24/I.P. =         25788268.4/ICODE =  1/FCODE =  0/ISEL=   9
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 1.000D-70 5.675D-60 3.147D-43 6.813D-35 6.696D-30 3.487D-24
 7.438D-20 1.994D-16 1.115D-14 6.726D-13 1.937D-11 8.470D-11
 2.622D-10 6.460D-10 1.025D-09 1.641D-09 2.077D-09 2.385D-09
 2.769D-09 3.047D-09 3.208D-09 2.869D-09 2.663D-09 2.427D-09
FE+ 9/FE+10/   24/I.P. =         28751175.9/ICODE =  1/FCODE =  0/ISEL=  10
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 1.000D-70 6.168D-66 3.086D-47 6.326D-38 2.385D-32 5.723D-26
 3.807D-21 2.471D-17 2.158D-15 2.043D-13 8.483D-12 4.346D-11
 1.516D-10 4.106D-10 6.843D-10 1.152D-09 1.496D-09 1.746D-09
 2.066D-09 2.306D-09 2.469D-09 2.231D-09 2.075D-09 1.893D-09
FE+10/FE+11/   24/I.P. =         31823820.6/ICODE =  1/FCODE =  0/ISEL=  11
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 1.000D-70 1.000D-70 2.067D-51 4.365D-41 6.650D-35 7.816D-28
 1.701D-22 2.777D-18 3.861D-16 5.853D-14 3.563D-12 2.157D-11
 8.561D-11 2.583D-10 4.569D-10 8.216D-10 1.106D-09 1.321D-09
 1.603D-09 1.824D-09 1.992D-09 1.813D-09 1.687D-09 1.538D-09
FE+11/FE+12/   24/I.P. =         36323050.4/ICODE =  1/FCODE =  0/ISEL=  12
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 1.000D-70 1.000D-70 1.752D-57 1.152D-45 1.394D-38 1.773D-30
 2.317D-24 1.517D-19 4.198D-17 1.260D-14 1.317D-12 1.005D-11
 4.759D-11 1.656D-10 3.157D-10 6.129D-10 8.574D-10 1.046D-09
